,JNJ,Date,NVO,WMT,JPM,XOM,UNH,V,TSM,LLY,HSBC,META,TSLA,NVDA,AMZN,GOOGL,GOOG,MSFT,AAPL
55,1.1870435,2018-03-22,0.40044054,0.85091746,1.2750479,0.84925747,2.326834,1.2927799,0.40492743,1.4284973,0.48101237,1.8220855,0.6414761,0.39035755,1.1146516,0.6504691,0.50348747,1.0127981,0.5092217
56,1.1873542,2018-03-23,0.40047434,0.85115314,1.2746608,0.8553175,2.326175,1.2927803,0.40421352,1.4278765,0.48168612,1.8220855,0.6429276,0.39038634,1.1158447,0.6480614,0.50030935,1.0124886,0.5048291
57,1.18748,2018-03-26,0.4004899,0.8511222,1.2751176,0.8603739,2.3257093,1.2933975,0.4045216,1.4286407,0.48155513,1.8220855,0.6447525,0.39048216,1.1156601,0.64526486,0.49128193,1.012633,0.5054086
58,1.1873268,2018-03-27,0.40052134,0.8508475,1.2752303,0.86559814,2.3256013,1.2932754,0.40499133,1.4269286,0.4816664,1.8220855,0.64687383,0.39073303,1.1160717,0.6441138,0.49509725,1.0124955,0.50587046
59,1.1869086,2018-03-28,0.4005041,0.8502172,1.2747575,0.87085533,2.3252661,1.2928535,0.4047744,1.4210058,0.4808291,1.8220855,0.64848137,0.3909034,1.1129402,0.64681554,0.49519882,1.0125651,0.5043654
60,1.1868902,2018-03-29,0.40055308,0.8500126,1.2757657,0.87554145,2.3256154,1.2932996,0.40524217,1.4235388,0.48080733,1.8220855,0.6501506,0.39082897,1.1165541,0.6497795,0.50515294,1.0126534,0.506847
61,1.1875571,2018-04-02,0.40065035,0.8504556,1.275499,0.882022,2.3263392,1.2937347,0.4052455,1.4289218,0.48070967,1.8220855,0.65130067,0.39088708,1.1160203,0.6533159,0.50928867,1.0126225,0.5068195
62,1.1871998,2018-04-03,0.400627,0.8507728,1.2760565,0.889313,2.3261204,1.293198,0.4051543,1.4330513,0.4801502,1.8220855,0.65289134,0.39084238,1.1150768,0.6566077,0.5110377,1.0124433,0.5077478
63,1.1874462,2018-04-04,0.40065655,0.8509155,1.2752373,0.89484555,2.3261607,1.2942246,0.40536228,1.4390417,0.48120803,1.8220855,0.6549397,0.3907859,1.1162204,0.6569607,0.51486343,1.012624,0.5088741
64,1.1871978,2018-04-05,0.40065706,0.85099125,1.2755481,0.9005128,2.3258817,1.2931857,0.40539452,1.4361843,0.48167273,1.8220855,0.65737563,0.39075327,1.1159047,0.6558817,0.515776,1.012592,0.5085779
65,1.187512,2018-04-06,0.40068316,0.8499826,1.2758505,0.90662384,2.3261752,1.2928813,0.4052435,1.4357249,0.48131114,1.8220855,0.6587872,0.39064956,1.1151243,0.654784,0.5154456,1.012607,0.50851786
66,1.1871253,2018-04-09,0.4006648,0.8492412,1.2762415,0.9108459,2.3270423,1.2929022,0.40480235,1.4362652,0.4803068,1.8220855,0.6608748,0.3906011,1.115005,0.65525144,0.5121768,1.0123553,0.5085422
67,1.1873975,2018-04-10,0.40068528,0.84931564,1.2761118,0.9147998,2.328313,1.293444,0.40491208,1.4377786,0.4820472,1.8220855,0.6629625,0.3905572,1.1166531,0.65726876,0.5141838,1.0121101,0.50944984
68,1.1873318,2018-04-11,0.40071395,0.8495378,1.2767712,0.92156535,2.3301103,1.2931573,0.4049853,1.4403199,0.4811704,1.8220855,0.6648705,0.39065135,1.1167582,0.664687,0.51485,1.0130061,0.5102021
69,1.1871467,2018-04-12,0.40070856,0.84941083,1.2760928,0.92679036,2.3323345,1.2929846,0.40501422,1.426628,0.48032308,1.8220855,0.66710323,0.39078316,1.1142862,0.6683642,0.5126131,1.012905,0.5094569
70,1.1868861,2018-04-13,0.40078157,0.8498816,1.2760488,0.9307744,2.3346794,1.2934633,0.40513664,1.4327185,0.4807731,1.8220855,0.6689212,0.39077652,1.1134572,0.67094254,0.5183654,1.0128627,0.5105018
71,1.1871166,2018-04-16,0.40082392,0.8503054,1.2759353,0.93595576,2.3364534,1.2932888,0.4050357,1.4297545,0.48076433,1.8220855,0.6704805,0.39073488,1.1143473,0.67158675,0.51466006,1.0128868,0.5106989
72,1.187003,2018-04-17,0.40083748,0.8505566,1.275926,0.9388321,2.337283,1.2925905,0.4051176,1.4263095,0.4804759,1.8220855,0.67230916,0.39069548,1.1142081,0.6721597,0.5142617,1.0128794,0.50995344
73,1.186912,2018-04-18,0.400916,0.8505931,1.2760687,0.94232935,2.3371036,1.2934215,0.4052479,1.4255246,0.48176458,1.8220855,0.67372155,0.3906198,1.1168519,0.6706186,0.5193412,1.0126832,0.5088077
74,1.1827817,2018-04-19,0.40093428,0.85058284,1.2757074,0.94683313,2.3379722,1.2929882,0.4052845,1.416885,0.4815602,1.8220855,0.67490226,0.39060956,1.1170996,0.6697561,0.5218337,1.0127558,0.50830805
75,1.1867893,2018-04-20,0.40087444,0.8503614,1.2763783,0.9502018,2.3387208,1.2927607,0.40495047,1.4166621,0.48153415,1.8220855,0.67586595,0.39065668,1.1135131,0.6709598,0.51492864,1.0129318,0.5047489
76,1.1877263,2018-04-23,0.40074947,0.85027254,1.2759011,0.95349604,2.3391778,1.2931049,0.40499142,1.4261196,0.4820174,1.8220855,0.67733604,0.39055684,1.1158018,0.66744,0.5170029,1.012603,0.5024453
77,1.1873864,2018-04-24,0.4008006,0.8501204,1.2761025,0.95656085,2.3397186,1.2934408,0.4051807,1.4380455,0.48143044,1.8220855,0.6792428,0.39052248,1.1161401,0.6708816,0.51462644,1.0129069,0.50320524
78,1.1865262,2018-04-25,0.40067986,0.8497986,1.2756763,0.9599202,2.3376014,1.2924901,0.4047899,1.440815,0.48159972,1.8220855,0.68061,0.39055282,1.1154666,0.6749253,0.5170499,1.0133742,0.5000775
79,1.1863394,2018-04-26,0.40039647,0.8483313,1.2753767,0.9609992,2.329405,1.2923143,0.40471688,1.430958,0.4811236,1.8220855,0.6814626,0.390653,1.1158013,0.67613757,0.50719625,1.0131248,0.5003322
80,1.1844603,2018-04-27,0.39999425,0.8471345,1.2758917,0.9605203,2.3343413,1.2931403,0.40510777,1.3981119,0.48101187,1.8220855,0.68251806,0.39069763,1.1163262,0.6706306,0.51084,1.0138086,0.50138736
81,1.1873726,2018-04-30,0.39874274,0.8462941,1.2759802,0.9590629,2.3343773,1.2936403,0.4050974,1.4114194,0.4811185,1.8220855,0.68257284,0.39076987,1.107328,0.66981196,0.49441713,1.014272,0.5012137
82,1.1845225,2018-05-01,0.39867818,0.84484273,1.2736405,0.9591248,2.3345518,1.2882024,0.40441927,1.4045583,0.48057178,1.8220855,0.68264246,0.39097577,1.1158748,0.6616047,0.440637,1.0144897,0.49407926
83,1.1810175,2018-05-02,0.3984791,0.84296435,1.2685952,0.9586353,2.3369913,1.2855777,0.4036709,1.3722456,0.47773394,1.8220855,0.68283457,0.39118463,1.1072024,0.6551741,0.4363411,1.0138967,0.49469176
84,1.1866053,2018-05-03,0.39872754,0.84307325,1.2747084,0.95538104,2.3434656,1.2924197,0.40437192,1.3864871,0.47785217,1.8220855,0.6830464,0.39144292,1.1157669,0.66364306,0.42281458,1.0152274,0.5018124
85,1.1863728,2018-05-04,0.39889234,0.8436409,1.27342,0.9531521,2.3483346,1.2897686,0.40320882,1.3768213,0.47995278,1.8220855,0.68196154,0.39136747,1.1097629,0.6623301,0.44414595,1.0147877,0.49846497
86,1.1841604,2018-05-07,0.39854628,0.84290266,1.2686441,0.9497337,2.3495524,1.2829857,0.40302303,1.3652229,0.47949177,1.8220855,0.68064344,0.39154643,1.1040864,0.666881,0.44729912,1.0144488,0.49678004
87,1.1876817,2018-05-08,0.3992448,0.84267575,1.2734052,0.9467998,2.3501203,1.290135,0.40420324,1.4001793,0.47916663,1.8220855,0.68279725,0.39164445,1.1069435,0.6692684,0.4481149,1.0151285,0.49934155
88,1.1875337,2018-05-09,0.39931515,0.8427054,1.2733516,0.945097,2.3513443,1.2907125,0.40470353,1.4027737,0.48094308,1.8220855,0.683955,0.39141583,1.1147486,0.6687652,0.4584285,1.0143652,0.5027847
89,1.1873605,2018-05-10,0.39924517,0.84293646,1.2731794,0.94367623,2.3514209,1.2894813,0.40449023,1.4066386,0.48144928,1.8220855,0.6844412,0.39137432,1.113343,0.6676752,0.46498585,1.0140347,0.5035035
90,1.1873956,2018-05-11,0.3994673,0.84277606,1.2739347,0.94121647,2.3509204,1.2913977,0.4046878,1.4181223,0.48102197,1.8220855,0.6845401,0.3913771,1.1141669,0.66686517,0.47299758,1.0143298,0.504672
91,1.187941,2018-05-14,0.39965343,0.84279543,1.2732906,0.93925184,2.3499644,1.2913398,0.40479836,1.4236152,0.4814557,1.8220855,0.68505996,0.3912819,1.1122895,0.6704743,0.4765229,1.0144053,0.50610405
92,1.1879344,2018-05-15,0.39972246,0.8422234,1.2729554,0.93678147,2.349046,1.2903475,0.40475112,1.4277163,0.48203117,1.8220855,0.6846547,0.3912189,1.110577,0.6782365,0.4767915,1.0143168,0.50622994
93,1.1866444,2018-05-16,0.39950803,0.83932483,1.273416,0.93483734,2.3485775,1.29075,0.40465334,1.4241393,0.48243472,1.8220855,0.6845424,0.39120266,1.113091,0.6753926,0.4813535,1.0145084,0.5061788
94,1.187195,2018-05-17,0.39963946,0.8397202,1.2736553,0.93161684,2.3477216,1.2895358,0.40441102,1.4223768,0.4817236,1.8220855,0.6846663,0.39114386,1.1127822,0.67541975,0.48244467,1.0141441,0.5059059
95,1.1875623,2018-05-18,0.3998756,0.84036124,1.2736468,0.92741483,2.3473547,1.2904664,0.40417716,1.4192039,0.4821475,1.8220855,0.68487084,0.39107987,1.1120912,0.67217165,0.48237517,1.0137761,0.506747
